Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
342_S237_L004_R1_001,342_S237_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41189624,0,151,37,71.24988808,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,warn
342_S237_L004_R2_001,342_S237_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41189624,0,151,37,72.4509103,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,warn
343_S231_L004_R1_001,343_S231_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40306096,0,151,36,72.2448994,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,warn
343_S231_L004_R2_001,343_S231_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40306096,0,151,37,71.42365081,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
353_S72_L002_R1_001,353_S72_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45070127,0,151,37,67.90559372,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
353_S72_L002_R2_001,353_S72_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45070127,0,151,37,65.53008633,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
360_S13_L001_R1_001,360_S13_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34462784,0,151,37,69.59046623,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
360_S13_L001_R2_001,360_S13_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34462784,0,151,37,71.10024212,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
364_S243_L004_R1_001,364_S243_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,61487008,0,151,38,65.35237282,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
364_S243_L004_R2_001,364_S243_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,61487008,0,151,38,70.1987267,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
