Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
389_S87_L002_2P,389_S87_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46505986,0,30-142,35,70.59590182,140.9885,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
390_S131_L003_1P,390_S131_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35873458,0,30-142,36,70.98122349,140.982427,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
390_S131_L003_2P,390_S131_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35873458,0,30-142,36,72.99136996,140.993126,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
393_S235_L004_1P,393_S235_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43579861,0,30-142,35,71.09547064,140.987489,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
393_S235_L004_2P,393_S235_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43579861,0,30-142,35,71.97562851,140.9933368,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
405_S73_L002_1P,405_S73_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27115144,0,30-142,35,73.97409512,140.9857175,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
405_S73_L002_2P,405_S73_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27115144,0,30-142,35,74.50808509,140.9928207,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
407_S37_L001_1P,407_S37_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34655463,0,30-142,35,71.90463347,140.9809558,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
407_S37_L001_2P,407_S37_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34655463,0,30-142,35,73.2931223,140.9917119,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
411_S168_L003_1P,411_S168_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41708545,0,30-142,35,71.27379256,140.9822691,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
411_S168_L003_2P,411_S168_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41708545,0,30-142,35,73.35861894,140.9916119,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
412_S144_L003_1P,412_S144_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46834169,0,30-142,35,66.4515577,140.9864816,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
412_S144_L003_2P,412_S144_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46834169,0,30-142,35,69.34282266,140.9928057,pass,pass,fail,pass,warn,pass,warn,warn,warn,pass,pass
416_S186_L003_1P,416_S186_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47304342,0,30-142,35,66.01350307,140.9892894,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
416_S186_L003_2P,416_S186_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47304342,0,30-142,35,68.48669921,140.994685,pass,pass,fail,pass,warn,pass,warn,warn,warn,pass,pass
418_S9_L001_1P,418_S9_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27880081,0,30-142,35,74.23170412,140.9791665,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
418_S9_L001_2P,418_S9_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27880081,0,30-142,35,74.72701503,140.9908219,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
419_S156_L003_1P,419_S156_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38293268,0,30-142,35,72.98260606,140.9781313,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
419_S156_L003_2P,419_S156_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38293268,0,30-142,35,75.21067204,140.9888121,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
423_S163_L003_1P,423_S163_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32690411,0,30-142,35,71.11520471,140.9822831,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
423_S163_L003_2P,423_S163_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32690411,0,30-142,35,72.45565226,140.9935883,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
426_S105_L002_1P,426_S105_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,31988817,0,30-142,36,65.31146578,140.9824521,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
426_S105_L002_2P,426_S105_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,31988817,0,30-142,36,67.37957311,140.9927676,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
427_S193_L004_1P,427_S193_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40281551,0,30-142,35,62.35805128,140.993437,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
427_S193_L004_2P,427_S193_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40281551,0,30-142,35,68.30332329,140.9961412,pass,pass,fail,pass,warn,pass,warn,warn,warn,pass,pass
430_S47_L001_1P,430_S47_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,28594814,0,30-142,36,62.80983272,140.9790824,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
430_S47_L001_2P,430_S47_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,28594814,0,30-142,36,64.65788093,140.9906383,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
431_S174_L003_1P,431_S174_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42832448,0,30-142,35,70.58834019,140.9866956,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
431_S174_L003_2P,431_S174_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42832448,0,30-142,35,72.81838217,140.9935858,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
432_S35_L001_1P,432_S35_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39567589,0,30-142,35,70.27510705,140.9767329,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
432_S35_L001_2P,432_S35_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39567589,0,30-142,35,73.34507676,140.9927149,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
433_S160_L003_1P,433_S160_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34830718,0,30-142,35,73.80684656,140.9890727,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
433_S160_L003_2P,433_S160_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34830718,0,30-142,35,75.43570991,140.9935389,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
437_S203_L004_1P,437_S203_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41432987,0,30-142,36,68.26667873,140.981757,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
437_S203_L004_2P,437_S203_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41432987,0,30-142,36,72.47866185,140.990196,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
439_S225_L004_1P,439_S225_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43020794,0,30-142,36,66.51561253,140.9640615,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
439_S225_L004_2P,439_S225_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43020794,0,30-142,36,71.212106,140.9867651,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
443_S178_L003_1P,443_S178_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41491358,0,30-142,35,71.99101071,140.9837824,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
443_S178_L003_2P,443_S178_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41491358,0,30-142,35,72.94480255,140.9901699,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
451_S229_L004_1P,451_S229_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39126121,0,30-142,36,67.9052853,140.9852216,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
451_S229_L004_2P,451_S229_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39126121,0,30-142,36,71.26917545,140.9921732,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
453_S3_L001_1P,453_S3_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30537659,0,30-142,36,64.47101124,140.9784059,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
453_S3_L001_2P,453_S3_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30537659,0,30-142,36,66.19386231,140.9911265,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
463_S79_L002_1P,463_S79_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,29162281,0,30-142,35,71.62338725,140.9831207,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
463_S79_L002_2P,463_S79_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,29162281,0,30-142,35,72.97218476,140.9923154,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
469_S161_L003_1P,469_S161_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40214758,0,30-142,35,66.73701737,140.9806031,pass,pass,warn,pass,warn,pass,pass,warn,warn,pass,pass
469_S161_L003_2P,469_S161_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40214758,0,30-142,35,68.58216045,140.992132,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
470_S41_L001_1P,470_S41_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30980732,0,30-142,35,73.34224439,140.9803748,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
470_S41_L001_2P,470_S41_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30980732,0,30-142,35,73.94717315,140.9913427,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
521_S175_L003_1P,521_S175_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40780200,0,30-142,37,66.71293547,140.9875957,pass,pass,fail,pass,warn,warn,pass,warn,warn,pass,pass
521_S175_L003_2P,521_S175_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40780200,0,30-142,37,69.00816086,140.9939731,pass,pass,fail,pass,warn,warn,warn,warn,warn,pass,pass
522_S177_L003_1P,522_S177_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51619720,0,30-142,35,68.77548771,140.978204,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
522_S177_L003_2P,522_S177_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51619720,0,30-142,35,71.05502596,140.9906548,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
530_S104_L002_1P,530_S104_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36674286,0,30-142,35,66.45378762,140.9855384,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
530_S104_L002_2P,530_S104_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36674286,0,30-142,35,68.42613091,140.9921204,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
533_S189_L003_1P,533_S189_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49880911,0,30-142,35,67.89510027,140.985272,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
533_S189_L003_2P,533_S189_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49880911,0,30-142,35,70.23477367,140.9925075,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
536_S145_L003_1P,536_S145_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38552227,0,30-142,35,72.1451347,140.9692742,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
536_S145_L003_2P,536_S145_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38552227,0,30-142,35,73.528146,140.983015,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
543_S149_L003_1P,543_S149_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34117307,0,30-142,36,65.68610704,140.9597291,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
543_S149_L003_2P,543_S149_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34117307,0,30-142,36,68.42044996,140.9767506,pass,pass,fail,pass,warn,pass,warn,warn,warn,pass,pass
545_S42_L001_1P,545_S42_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37692069,0,30-142,36,71.51743575,140.9886783,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
545_S42_L001_2P,545_S42_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37692069,0,30-142,36,71.97545715,140.994075,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
562_S30_L001_1P,562_S30_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46519078,0,30-142,36,69.70334142,140.9856641,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
562_S30_L001_2P,562_S30_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46519078,0,30-142,36,69.52863202,140.991762,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
564_S2_L001_1P,564_S2_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40286691,0,30-142,36,70.04680947,140.9839092,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
564_S2_L001_2P,564_S2_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40286691,0,30-142,36,70.59805706,140.9908846,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
567_S56_L001_1P,567_S56_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41007391,0,30-142,36,70.47318908,140.9882744,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
567_S56_L001_2P,567_S56_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41007391,0,30-142,36,72.09366708,140.9921779,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
572_S18_L001_1P,572_S18_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40615676,0,30-142,36,71.33943282,140.9840056,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
572_S18_L001_2P,572_S18_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40615676,0,30-142,36,71.7906137,140.9922424,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
588_S48_L001_1P,588_S48_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49243233,0,30-142,36,65.65673626,140.9860654,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
588_S48_L001_2P,588_S48_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49243233,0,30-142,36,66.01355668,140.9928073,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
594_S137_L003_1P,594_S137_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33448053,0,30-142,36,72.02160197,140.9864361,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
594_S137_L003_2P,594_S137_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33448053,0,30-142,36,74.10865549,140.9922922,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
601_S222_L004_1P,601_S222_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36974893,0,30-142,36,66.31686379,140.9736953,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
601_S222_L004_2P,601_S222_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36974893,0,30-142,36,70.92810269,140.9887529,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
712_S36_L001_1P,712_S36_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42085049,0,30-142,36,67.85049848,140.9829848,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
712_S36_L001_2P,712_S36_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42085049,0,30-142,36,69.6274533,140.9927356,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
718_S209_L004_1P,718_S209_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32610098,0,30-142,36,73.02094288,140.9693588,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
718_S209_L004_2P,718_S209_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32610098,0,30-142,36,71.92378681,140.9825054,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
719_S74_L002_1P,719_S74_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30622825,0,30-142,36,64.27361326,140.9863365,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
719_S74_L002_2P,719_S74_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30622825,0,30-142,36,63.19369852,140.9917147,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
747_S181_L003_1P,747_S181_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34582693,0,30-142,35,68.13160183,140.9758152,pass,pass,warn,pass,warn,pass,pass,warn,warn,pass,pass
747_S181_L003_2P,747_S181_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34582693,0,30-142,35,69.32870843,140.9916599,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
755_S249_L004_1P,755_S249_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42745938,0,30-142,36,68.06711682,140.9793242,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
755_S249_L004_2P,755_S249_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42745938,0,30-142,36,67.44275965,140.9900186,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
762_S49_L001_1P,762_S49_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27135728,0,30-142,36,67.39535834,140.9909777,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
762_S49_L001_2P,762_S49_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27135728,0,30-142,36,68.6205607,140.9955423,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
767_S191_L003_1P,767_S191_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38697145,0,30-142,36,70.54836774,140.9734639,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
767_S191_L003_2P,767_S191_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38697145,0,30-142,36,71.67474296,140.9902793,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
785_S42_L001_1P,785_S42_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27092734,0,30-142,36,70.91440647,140.9806988,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
785_S42_L001_2P,785_S42_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27092734,0,30-142,36,72.56534302,140.9905793,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
801_S234_L004_1P,801_S234_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32670786,0,30-142,35,73.66492029,140.9897549,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
