Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
847_S82_L002_2P,847_S82_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43083551,0,30-142,36,71.69834529,140.9828915,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
860_S172_L003_1P,860_S172_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33938825,0,30-142,35,70.28239233,140.9849348,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
860_S172_L003_2P,860_S172_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33938825,0,30-142,35,71.97578006,140.9938136,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
863_S136_L003_1P,863_S136_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33538505,0,30-142,35,72.55144112,140.9872484,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
863_S136_L003_2P,863_S136_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33538505,0,30-142,35,73.09784302,140.9927399,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
865_S176_L003_1P,865_S176_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27663878,0,30-142,36,71.20077872,140.9848138,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
865_S176_L003_2P,865_S176_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27663878,0,30-142,36,72.77647937,140.9930113,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
939_S120_L002_1P,939_S120_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40290888,0,30-142,36,69.35388083,140.9861551,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
939_S120_L002_2P,939_S120_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40290888,0,30-142,36,69.38502743,140.9884441,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
947_S128_L002_1P,947_S128_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45145781,0,30-142,36,67.24002875,140.9868559,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
947_S128_L002_2P,947_S128_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45145781,0,30-142,36,69.09506227,140.9919202,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
MHCE03_S120_L002_1P,MHCE03_S120_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43311876,0,30-142,35,70.43798751,140.9776583,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
MHCE03_S120_L002_2P,MHCE03_S120_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43311876,0,30-142,35,71.64711924,140.9914938,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
MHCE07_S124_L002_1P,MHCE07_S124_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36179968,0,30-142,35,72.32167938,140.9768497,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
MHCE07_S124_L002_2P,MHCE07_S124_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36179968,0,30-142,35,73.28129951,140.9909242,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
